State,Bachelor_Pct,Median_Household_Income
Alabama,29.9,66659
Alaska,32.8,95665
Arizona,34.7,81486
Arkansas,27.1,62106
California,38.1,100149
Colorado,47.8,97113
Connecticut,42.6,96049
Delaware,36.0,87534
District of Columbia,65.5,109707
Florida,35.8,77735
Georgia,36.3,79991
Hawaii,37.8,100745
Idaho,33.0,81166
Illinois,39.2,83211
Indiana,30.7,71959
Iowa,32.1,75501
Kansas,36.0,75514
Kentucky,27.9,64526
Louisiana,27.8,60986
Maine,37.1,76442
Maryland,44.7,102905
Massachusetts,48.3,104828
Michigan,33.3,72389
Minnesota,40.0,87117
Mississippi,27.0,59127
Missouri,33.5,71589
Montana,36.3,75340
Nebraska,35.4,76376
Nevada,28.5,81134
New Hampshire,41.5,99782
New Jersey,44.5,104294
New Mexico,31.8,67816
New York,41.2,85820
North Carolina,37.1,73958
North Dakota,34.0,77871
Ohio,32.4,72212
Oklahoma,29.3,66148
Oregon,37.8,85220
Pennsylvania,36.4,77545
Puerto Rico,29.7,27213
Rhode Island,39.0,83504
South Carolina,33.3,72350
South Dakota,34.2,76881
Tennessee,32.4,71997
Texas,35.2,79721
Utah,39.1,96658
Vermont,45.1,82730
Virginia,43.3,92090
Washington,41.0,99389
West Virginia,24.4,60798
Wisconsin,34.6,77488
Wyoming,32.3,75532
