State,State_Abbrev,Total_Homeless,Sheltered_Homeless,Unsheltered_Homeless,Total_Housing_Units,Homeless_Per_10k_Housing_Units,Pct_Sheltered
California,CA,187084,63110,123974,14877017,125.75,33.7
New York,NY,158019,152381,5638,8676911,182.11,96.4
Washington,WA,31554,15332,16222,3400980,92.78,48.6
Florida,FL,31362,14494,16868,10629845,29.5,46.2
Massachusetts,MA,29360,27725,1635,3057853,96.02,94.4
Texas,TX,27987,15648,12339,12616736,22.18,55.9
Illinois,IL,25832,23168,2664,5482133,47.12,89.7
Oregon,OR,22875,8684,14191,1896851,120.59,38.0
Colorado,CO,18715,13924,4791,2662111,70.3,74.4
Arizona,AZ,14737,7446,7291,3299178,44.67,50.5
Pennsylvania,PA,14088,11453,2635,5861320,24.04,81.3
New Jersey,NJ,12762,10995,1767,3816432,33.44,86.2
Georgia,GA,12290,5617,6673,4668796,26.32,45.7
Ohio,OH,11759,9380,2379,5336168,22.04,79.8
Hawaii,HI,11637,7595,4042,572824,203.15,65.3
North Carolina,NC,11626,7103,4523,5073509,22.92,61.1
Nevada,NV,10106,5192,4914,1365893,73.99,51.4
Michigan,MI,9739,8116,1623,4669109,20.86,83.3
Minnesota,MN,9201,7117,2084,2597229,35.43,77.4
Tennessee,TN,8280,3932,4348,3243954,25.52,47.5
Missouri,MO,7312,4928,2384,2858527,25.58,67.4
Virginia,VA,7141,5560,1581,3746211,19.06,77.9
Indiana,IN,6285,4808,1477,3026101,20.77,76.5
Maryland,MD,6069,5033,1036,2588337,23.45,82.9
District of Columbia,DC,5616,4716,900,368700,152.32,84.0
Oklahoma,OK,5467,3251,2216,1800427,30.37,59.5
Kentucky,KY,5231,3515,1716,2051004,25.5,67.2
Wisconsin,WI,5049,4539,510,2820538,17.9,89.9
New Mexico,NM,4631,2389,2242,973944,47.55,51.6
Alabama,AL,4601,1903,2698,2381771,19.32,41.4
South Carolina,SC,4593,2747,1846,2531310,18.14,59.8
Utah,UT,3869,2861,1008,1283206,30.15,73.9
Louisiana,LA,3469,1911,1558,2138882,16.22,55.1
Vermont,VT,3458,3291,167,343166,100.77,95.2
Connecticut,CT,3410,2836,574,1554057,21.94,83.2
Kansas,KS,2793,1889,904,1310001,21.32,67.6
Arkansas,AR,2783,1449,1334,1421029,19.58,52.1
Idaho,ID,2750,1376,1374,832052,33.05,50.0
Nebraska,NE,2720,2419,301,880521,30.89,88.9
Maine,ME,2702,2429,273,764713,35.33,89.9
Alaska,AK,2686,2207,479,329757,81.45,82.2
Iowa,IA,2631,2167,464,1458471,18.04,82.4
Rhode Island,RI,2442,1908,534,488011,50.04,78.1
New Hampshire,NH,2245,1666,579,657198,34.16,74.2
Montana,MT,2008,1432,576,539622,37.21,71.3
West Virginia,WV,1779,991,788,866433,20.53,55.7
Delaware,DE,1358,1120,238,476415,28.5,82.5
South Dakota,SD,1338,1111,227,423705,31.58,83.0
Mississippi,MS,1041,555,486,1359223,7.66,53.3
North Dakota,ND,865,675,190,380994,22.7,78.0
Wyoming,WY,501,412,89,281789,17.78,82.2
