State,Unemployment_Rate,Poverty_Rate
Alabama,4.61,8.21
Alaska,5.82,5.72
Arizona,5.05,6.6
Arkansas,4.9,8.52
California,6.56,6.49
Colorado,4.55,5.43
Connecticut,5.53,5.48
Delaware,5.1,5.47
District of Columbia,6.27,8.76
Florida,4.79,6.5
Georgia,5.09,6.98
Hawaii,4.92,5.38
Idaho,3.6,5.45
Illinois,5.81,6.39
Indiana,4.26,6.7
Iowa,3.53,6.16
Kansas,3.82,6.2
Kentucky,4.8,8.77
Louisiana,6.3,9.88
Maine,3.75,6.04
Maryland,4.87,5.02
Massachusetts,5.09,5.56
Michigan,5.68,7.2
Minnesota,4.02,5.09
Mississippi,5.74,9.66
Missouri,3.99,6.81
Montana,3.53,6.46
Nebraska,2.92,5.76
Nevada,6.97,6.74
New Hampshire,3.28,4.05
New Jersey,6.29,4.95
New Mexico,5.93,9.41
New York,6.33,7.48
North Carolina,4.66,6.93
North Dakota,2.63,6.06
Ohio,4.71,7.16
Oklahoma,4.93,8.22
Oregon,5.28,7.02
Pennsylvania,5.2,6.24
Puerto Rico,10.74,21.4
Rhode Island,5.73,6.23
South Carolina,4.81,7.37
South Dakota,2.85,6.2
Tennessee,4.66,7.34
Texas,5.23,6.97
Utah,3.5,4.71
Vermont,3.48,5.95
Virginia,4.2,5.4
Washington,5.03,5.64
West Virginia,5.37,9.38
Wisconsin,3.21,5.78
Wyoming,3.61,5.94
